Date,Mine Days Work_days,Mine Tons per Day_tpd,Feed Tonnage_tons,Feed Grade_Au gpt,MCF_%,Mill Days Work_days,Mill Tons per Day_tpd,Milled Tonnage_tons,Milled Grade_Au gpt,Gold Recovered_Au oz,Gold Recovery_%,Gold Tails_Solid_Au gpt,Gold Tails_Solution_Au gpt,Gold Tails_Total_Au gpt
2016-03-12,1,,1165,6.31,0.985826765,1,,1024.477959,6.22056689,170.0431235,0.829919085,0.979262425,0.054951823,1.057999708
2016-03-13,1,,975,6.51,0.820042536,1,,1117.746748,5.33847691,150.2886186,0.783383772,1.114476546,0.0292,1.156400729
2016-03-14,1,,705,7.1,0.713119647,1,,840.6018624,5.063149491,106.7164356,0.779883038,1.04788272,0.046174661,1.114485084
2016-03-15,1,,1015,7.61,0.846654944,1,,1009.914554,6.443044127,176.7355141,0.844806706,0.919276395,0.05774049,0.999917239
2016-03-16,1,,1290,8.27,0.669974705,1,,1154.716594,5.540690807,172.6333103,0.839256161,0.786416398,0.073037633,0.890631914
2016-03-17,1,,930,8.68,0.655671124,1,,1121.693811,5.69122536,171.5130067,0.835653459,0.859899938,0.050288841,0.935333199
2016-03-18,1,,1395,7.79,0.757819917,1,,845.2809748,5.903417151,135.4492099,0.844269637,0.829246513,0.063758982,0.919341293
2016-03-19,1,,1345,7.71,0.774825143,1,,1305.161723,5.973901855,208.4881198,0.831702799,0.818840805,0.130183922,1.005390962
2016-03-20,1,,1155,7.61,0.748143915,1,,1276.784169,5.693375196,196.3769087,0.840257479,0.854282753,0.040970376,0.909474106
2016-03-21,1,,1000,6.85,0.770588467,1,,838.3482512,5.278530998,118.9945645,0.836370771,0.773788063,0.064426577,0.86372196
2016-03-22,1,,995,7.15,0.870186012,1,,1164.245548,6.221829984,199.5855242,0.856989647,0.833645629,0.041332442,0.889786103
2016-03-23,1,,1305,7.36,0.781870968,1,,1245.014603,5.754570327,189.8033428,0.823997267,0.926349698,0.063652718,1.012820102
2016-03-24,1,,1245,7.78,0.537052183,1,,1201.411495,4.178265982,124.5769187,0.771896338,0.83879359,0.084057234,0.953077769
2016-03-25,1,,1295,8.34,0.627776619,1,,1252.879385,5.235657003,172.4725806,0.817803326,0.853019822,0.070800096,0.953919292
2016-03-26,1,,1535,8.01,0.756641933,1,,1314.934877,6.060701886,219.5278951,0.856784908,0.759057996,0.076600134,0.867983978
2016-03-27,1,,1780,7.51,0.66274324,1,,1230.103066,4.977201735,160.1502453,0.813598474,0.84177128,0.062266244,0.927757998
2016-03-28,1,,1330,7.79,0.569979507,1,,1243.767914,4.440140362,136.5665032,0.769161261,0.916852839,0.07828189,1.024956401
2016-03-29,1,,915,7.88,0.661012154,1,,1205.129541,5.208775777,163.73955,0.811322386,0.856290839,0.092767217,0.982779385
2016-03-30,1,,1915,8.59,0.720972871,1,,1366.284873,6.193156964,229.9482499,0.845251642,0.851471436,0.079603639,0.958380869
2016-03-31,1,,923,6.96,0.854867946,1,,1265.540933,5.949880904,203.0932311,0.838919407,0.861042584,0.070507687,0.958410342
2016-04-01,1,,1760,6.78,0.726316268,1,,1350.25062,4.924424297,170.0742038,0.79556901,0.905666318,0.073165895,1.006704934
2016-04-02,1,,1515,6.33,0.585945514,1,,1353.764797,3.709035106,122.2362765,0.757190599,0.827731407,0.0535,0.900588593
2016-04-03,1,,1405,6.11,0.600651575,1,,1319.951954,3.669981125,115.8282564,0.743706927,0.842671649,0.068973271,0.940590739
2016-04-04,1,,1180,6.56,0.662647759,1,,1350.043421,4.346969298,150.3398042,0.796799279,0.729648099,0.108141627,0.883307295
2016-04-05,1,,1675,8.19,0.535363777,1,,1327.627295,4.38462933,157.6165748,0.842174505,0.620453062,0.053978753,0.692006293
2016-04-06,1,,565,8.12,0.653725314,1,,720.3107621,5.308249547,101.9255469,0.829127037,0.789,0.0947,0.907036327
2016-04-07,1,,850,7.38,0.73685439,1,,800.8751923,5.437985398,120.0535454,0.857395843,0.67774322,0.073730745,0.775479324
2016-04-08,1,,990,6.72,0.685024862,1,,1213.049359,4.603367071,148.7508084,0.828541978,0.722763437,0.048137967,0.789284212
2016-04-09,1,,1040,5.81,0.772820427,1,,1359.946741,4.490086682,163.2700462,0.831647242,0.694767571,0.046851869,0.755918476
2016-04-10,1,,745,4.71,1.009140081,1,,805.6326846,4.753049781,102.6822684,0.834056125,0.738011529,0.037984498,0.788739501
2016-04-11,1,,1160,3.13,0.921661758,1,,1100.868771,2.884801301,76.70031619,0.751198927,0.659499079,0.043937385,0.717741659
